Model,MIG
1,0.2220355778264183
1,0.18521288745053952
1,0.2544125626844534
1,0.19358551269912633
1,0.10659990051915295
1,0.31397968938101095
1,0.20670222491829157
1,0.19713742118299019
1,0.14389908673658686
1,0.16622473891354297
1,0.17720496934500504
1,0.2568356014648619
1,0.18220380393688465
1,0.2455828463110923
1,0.2027030189362881
1,0.18555554605802455
1,0.16058387410994684
1,0.06953262756377376
1,0.2878378461862549
1,0.20676253135788764
1,0.22993461783383573
1,0.2482772493201466
1,0.29036023583189996
1,0.25526154699920345
1,0.14735907438537382
1,0.10803134387031507
1,0.17374117809379347
1,0.08753928219460945
1,0.08163709602820576
1,0.1871841822716723
1,0.2113196046157529
1,0.2839262141861336
1,0.18682730325922622
1,0.16928692494348377
1,0.15650634110591286
1,0.08541076272780009
1,0.09838652347545039
1,0.22535859827159765
1,0.1926054904294577
1,0.20965479022046116
1,0.18001408802921695
1,0.25037640583957443
1,0.17069766475535256
1,0.17549547870928495
1,0.33321174331087916
1,0.25946533301939034
1,0.2067697840747269
1,0.17194145643825948
1,0.20863146025748489
1,0.1115485289831759
1,0.0953008630702573
1,0.09877712421593698
1,0.1769042460914122
1,0.19892144402964163
1,0.1809003303931844
1,0.16548788472465503
1,0.1644412485136076
1,0.1934517583544424
1,0.14737273769231304
1,0.10479974840720316
1,0.18762723347780236
1,0.19571652279205087
1,0.2161200348341365
1,0.19438765002727712
1,0.18178145538332527
1,0.21212577420119777
1,0.19857512876923228
1,0.22071511983991984
1,0.10549703311665719
1,0.16551061936559
1,0.1626368160150867
1,0.223018558644625
1,0.3230916430195825
1,0.186409615734348
1,0.08850438036592037
1,0.21922888584484404
1,0.16785908635913024
1,0.17210545962088347
1,0.2028665358937809
1,0.1821078975428082
1,0.18989756266559857
1,0.18673114202950974
1,0.28843936371997336
1,0.1422244558394115
1,0.10271754720705237
1,0.11931816379830575
1,0.14899655797937955
1,0.18902563196139766
1,0.07470309189121388
1,0.16562373879152745
1,0.07365542899213748
1,0.18331753118598376
1,0.20831805084712027
1,0.16347214564520873
1,0.19061262985188834
1,0.18031661133332844
1,0.1834465381127608
1,0.13008273475913812
1,0.11614346311011778
1,0.31343495268606864
1,0.2761373580187525
1,0.17608114776658595
1,0.18552282366239
1,0.28606241978178054
1,0.1935314671690742
1,0.16831223855533267
1,0.19180979563255748
1,0.1945645666027781
1,0.17552422112601762
1,0.32692111528204176
1,0.1729351329888236
1,0.18425233276901648
1,0.16073115996325993
1,0.17818585972073028
1,0.10946815010771022
1,0.31014634052220585
1,0.17541832324512782
1,0.17691707119864408
1,0.1470542194052269
1,0.18674668158910185
2,0.09868356612700659
2,0.13015900783012085
2,0.08929056338478206
2,0.1031376368996621
2,0.10568471555989038
2,0.09732878020137169
2,0.09734400892698696
2,0.1232441188713807
2,0.08636654735260618
2,0.07278706979639471
2,0.07271216201321462
2,0.09883393864353496
2,0.13199789096292353
2,0.05912195877032386
2,0.07312486454520634
2,0.10981455547658973
2,0.06384617656781154
2,0.11013299979251615
2,0.09702306191831193
2,0.0876657778572798
2,0.12013711266672791
2,0.09493440885655484
2,0.10356793982566527
2,0.08762730100335092
2,0.0833117475198614
2,0.10991479650519127
2,0.07192257466700934
2,0.04494716561900229
2,0.0990638154227571
2,0.09042300569043174
2,0.09607880444343034
2,0.10809550684860528
2,0.07897740458941074
2,0.0824835278589386
2,0.10078466475457375
2,0.11047036451969491
2,0.0815945490902549
2,0.08286281764219156
2,0.0791441126899283
2,0.0538085117416145
2,0.07189896563367357
2,0.09554353585390382
2,0.06792335949542497
2,0.09959385771716611
2,0.1020195362622127
2,0.07707362148088022
2,0.12912159702451023
2,0.07843817061172602
2,0.1263607764672176
2,0.06442990105695176
2,0.1178446630340225
2,0.12236131315988348
2,0.12984634170500903
2,0.11527510593330513
2,0.12625400706878534
2,0.09234161208084621
2,0.11858949399206244
2,0.08744278563036109
2,0.07506939628945844
2,0.0820352767192524
2,0.10221377523068614
2,0.07166383880151696
2,0.08821735559844823
2,0.1024943389972774
2,0.09215115933617425
2,0.07796685122912778
2,0.10589217496710793
2,0.10827686132267691
2,0.0739629309791079
2,0.10853585889569398
2,0.0959212665843411
2,0.08662601776172538
2,0.08905599647801266
2,0.08019463487434984
2,0.08611866146266348
2,0.11570379974310685
2,0.1296430202325432
2,0.11220769831165983
2,0.0811781848462296
2,0.0989282746825992
2,0.10751347273010958
2,0.09974697088463202
2,0.11842696019174728
2,0.0766909417415247
2,0.10428296991568485
2,0.08894999287191269
2,0.08966099761626445
2,0.05895371383065465
2,0.08845716723312444
2,0.12513468528833901
2,0.07216133488595391
2,0.09828662002282482
2,0.08042882780893265
2,0.10820661655528167
2,0.06985820773703431
2,0.10227770619785122
2,0.09100833624857974
2,0.11602214193483294
2,0.13337510933492852
2,0.0988337711318247
2,0.11842634963755985
2,0.12418531072855554
2,0.14341215072151559
2,0.11576980529053753
2,0.09569381135132779
2,0.07740285889975612
2,0.10576240157466385
2,0.06231508450848979
2,0.09833070372618255
2,0.09474137152046144
2,0.09813908211457553
2,0.08666631194050595
2,0.10092519008029237
2,0.09512419876810449
2,0.08382615887010392
2,0.09041324715060667
2,0.11648170096021486
2,0.10405846743644274
2,0.09158990054860947
2,0.06056863325487559
3,0.09088062336684838
3,0.09495043915097769
3,0.10782538041971916
3,0.12433339378199545
3,0.09033150824952116
3,0.13373554183460412
3,0.1268555862097573
3,0.0851788902218488
3,0.08962716951785
3,0.09991672072246993
3,0.09875293904573507
3,0.11475121545304373
3,0.13362489579731257
3,0.10337556910536808
3,0.11118492483480973
3,0.09806953335173219
3,0.1491167082541186
3,0.09746894956275697
3,0.12045077075346647
3,0.11149357932965437
3,0.09644389723505406
3,0.09172149045904306
3,0.10471604023922788
3,0.09307051659892378
3,0.09258830337990721
3,0.10782331333905916
3,0.0636439834690141
3,0.11035586577051676
3,0.09532081314831152
3,0.06576048024609218
3,0.140707302047236
3,0.13362466782515128
3,0.09763227838328523
3,0.10676768273531596
3,0.09971217094116308
3,0.08548161510956402
3,0.1082269613721432
3,0.1207050109880708
3,0.13706704440099896
3,0.12199821479252913
3,0.10006034013340548
3,0.12135171167764008
3,0.0925129673698508
3,0.07604663602884612
3,0.12433124394014272
3,0.12323991928910505
3,0.10013676881460801
